Address,Suburb,Postcode,SalePrice,SaleDate,PropertyType,Bedrooms,Bathrooms,ParkingSpaces,Area_m2
"8/88 Avenue Road, Mosman NSW 2088",Mosman,2088,"730,000",8-Sep-26,Apartment,1,1,1,NaN
"7/10 Muston Street, Mosman NSW 2088",Mosman,2088,"750,000",3-Sep-26,Apartment,1,1,0,45
"13/5 The Esplanade, Mosman NSW 2088",Mosman,2088,"$1,450,000 ",14-Sep-26,Apartment,1,1,0,45
"3/17 Milner Street, Mosman",Mosman,2088,"$790,000 ",21-Aug-26,Apartment,1,1,0,45
"111/116 Belmont Road, Mosman",Mosman,2088,"$930,000 ",19-Aug-26,Apartment,1,1,1,74
"4/139–153 Middle Head Road, Mosman",Mosman,2088,"$2,600,000 ",14-Aug-26,Apartment,3,2,2,156
"14/669 Military Road, Mosman",Mosman,2088,"$1,600,000 ",12-Aug-26,Apartment,2,1,1,96
"9/71 Avenue Road, Mosman",Mosman,2088,"$700,000 ",10-Aug-26,Apartment,1,1,1,NaN
"3/6 Brierley Street, Mosman",Mosman,2088,"$975,000 ",4-Aug-26,Apartment,2,1,0,68
"11/23 Warringah Road, Mosman",Mosman,2088,"$865,000 ",31-Aug-26,Apartment,1,1,1,NaN
"22A Upper Avenue, Mosman NSW 2088",Mosman,2088,"$3,080,000 ",10-Aug-26,House,4,3,2,333
"77 Belmont Road, Mosman NSW 2088",Mosman,2088,"$4,900,000 ",5-Aug-26,House,4,3,1,462
"142/15 Hale Road, Mosman NSW 2088",Mosman,2088,"$3,800,000 ",24-Jul-26,Retirement Living,3,2,2,NaN
"5 Botanic Road, Mosman NSW 2088",Mosman,2088,"$8,700,000 ",22-Jul-26,House,4,3,2,437
"23 Dalton Road, Mosman NSW 2088",Mosman,2088,"$2,900,000 ",21-Jul-26,Semi Detached,3,2,1,249
"6/40 Raglan Street, Mosman",Mosman,2088,"$1,600,000 ",27-Jul-26,Apartment,2,1,1,103
"2/63 Muston Street, Mosman NSW 2088",Mosman,2088,"$6,000,000 ",18-Jun-26,Apartment,4,3,3,631
"10/16 Avenue Road, Mosman",Mosman,2088,"$892,000 ",20-Jul-26,Apartment,2,1,0,80
"4/3 Millett Road, Mosman",Mosman,2088,"$1,050,000 ",16-Jul-26,Apartment,2,1,1,67
"7/154 Raglan Street, Mosman",Mosman,2088,"$785,000 ",14-Jul-26,Apartment,1,1,1,NaN
"1/128–130 Avenue Road, Mosman",Mosman,2088,"$1,415,000 ",14-Jul-26,Apartment,2,1,1,NaN
"13/6 McLeod Street, Mosman",Mosman,2088,"$762,000 ",9-Jul-26,Apartment,1,1,0,NaN
"20/96 Ourimbah Road, Mosman",Mosman,2088,"$1,030,000 ",7-Jul-26,Apartment,2,1,1,72
"4/125 Raglan Street, Mosman",Mosman,2088,"$990,000 ",7-Jul-26,Apartment,2,1,0,NaN
"22/43 Musgrave Street, Mosman",Mosman,2088,"$1,310,000 ",3-Jul-26,Apartment,2,1,1,66
"22/96 Ourimbah Road, Mosman",Mosman,2088,"$1,025,000 ",3-Jul-26,Apartment,2,1,1,NaN
"3 Gordon Street, Mosman",Mosman,2088,"$7,650,000 ",2-Jul-26,House,5,2,2,490
"67 Cowles Road, Mosman",Mosman,2088,"$3,225,000 ",2-Jul-26,House,4,2,0,244
"36 Lang Street, Mosman",Mosman,2088,"$2,865,000 ",2-Jul-26,House,3,2,1,260
"21 Morella Road, Mosman",Mosman,2088,"$11,650,000.00",1-Jul-26,House,4,4,2,527
"31/2B Brady Street, Mosman",Mosman,2088,"$1,925,000 ",29-Jun-26,Apartment,3,2,2,NaN
"2/60A Raglan Street, Mosman",Mosman,2088,"$1,175,000 ",26-Jun-26,Apartment,2,1,1,NaN
"2/81A Glover Street, Mosman",Mosman,2088,"$1,440,000 ",25-Jun-26,Apartment,2,2,1,NaN
"3/13 Wyong Road, Mosman",Mosman,2088,"$1,750,000 ",22-Jun-26,Apartment,2,2,1,NaN
